Point Id,Northing,Easting,Elevation,Code,Code Description,,,,
2099,6008037.258,639667.225,647.524,BOB,BOTTOM OF BANK,,,,
2100,6008036.759,639667.584,647.183,BED,BED,,,,
2101,6008036.305,639668.252,647.066,BED,BED,,,,
2102,6008035.104,639668.662,647.197,BED,BED,,,,
2103,6008033.542,639668.981,647.116,BED,BED,,,,
2104,6008032.632,639669.416,647.127,BED,BED,,,,
2105,6008031.205,639669.934,647.403,BED,BED,,,,
2106,6008030.992,639670.232,647.525,BAR,BAR,,,,
2107,6008029.816,639671.895,647.73,BAR,BAR,,,,
2108,6008028.99,639673.884,647.904,BAR,BAR,,,,
2109,6008027.864,639675.611,648.076,GS,GROUND SHOT,,,,
2110,6008026.928,639677.461,648.276,GS,GROUND SHOT,,,,
2111,6008026.753,639679.041,648.595,GS,GROUND SHOT,,,,
2112,6008016.327,639684.189,648.3,GS,GROUND SHOT,,,,
2113,6008013.713,639679.418,648.592,GS,GROUND SHOT,,,,
2114,6008012.446,639678.249,648.46,TOB,TOP OF BANK,,,,
2115,6008011.257,639676.994,647.941,BOB,BOTTOM OF BANK,,,,
2116,6008010.916,639676.714,647.862,BED,BED,,,,
2117,6008010.314,639675.933,647.798,BED,BED,,,,
2118,6008009.899,639675.302,647.692,BED,BED,,,,
2119,6008009,639673.816,647.707,BED,BED,,,,
2120,6008008.217,639672.534,647.715,BED,BED,,,,
2121,6008007.046,639670.944,647.768,BED,BED,,,,
2122,6008006.671,639670.224,647.909,BAR,BAR,,,,
2123,6008005.896,639668.486,647.929,BAR,BAR,,,,
2124,6008004.795,639667.054,647.86,BAR,BAR,,,,
2125,6008003.561,639665.514,647.926,BOB,BOTTOM OF BANK,,,,
2126,6008003.216,639664.997,648.368,TOB,TOP OF BANK,,,,
2127,6008001.24,639663.639,648.494,BOB,BOTTOM OF BANK,,,,
2128,6008000.571,639662.173,649.946,TOB,TOP OF BANK,,,,
2129,6007999.801,639660.903,650.033,GS,GROUND SHOT,,,,
2130,6007985.071,639676.094,650.057,GS,GROUND SHOT,,,,
2131,6007985.264,639676.777,649.982,TOB,TOP OF BANK,,,,
2132,6007986.872,639676.938,648.869,BOB,BOTTOM OF BANK,,,,
2133,6007989.576,639678.21,648.658,TOB,TOP OF BANK,,,,
2134,6007990.625,639678.573,648.076,BOB,BOTTOM OF BANK,,,,
2135,6007992.09,639679.972,647.94,WL,WATERLEVEL,,,,
2136,6007991.885,639681.682,647.42,BED,BED,,,,
2137,6007992.758,639682.703,647.286,BED,BED,,,,
2138,6007993.979,639684.766,647.708,BED,BED,,,,
2139,6007994.557,639685.841,647.836,BED,BED,,,,
2140,6007995.219,639687.759,647.845,BED,BED,,,,
2141,6007995.913,639689.647,647.739,BED,BED,,,,
2142,6007996.785,639690.553,647.877,BED,BED,,,,
2143,6007996.923,639690.844,647.949,GS,GROUND SHOT,,,,
2144,6007997.422,639691.616,648.223,BOB,BOTTOM OF BANK,,,,
2145,6007997.696,639692.384,648.589,TOB,TOP OF BANK,,,,
2146,6007997.778,639693.895,648.598,GS,GROUND SHOT,,,,
2147,6007998.498,639696.217,648.432,GS,GROUND SHOT,,,,
2148,6007973.978,639716.035,648.809,TL,TREELINE,,,,
2149,6007972.975,639715.718,648.548,GS,GROUND SHOT,,,,
