Point Id,Northing,Easting,Elevation,Code,Code Description,,,,
2496,6008014.581,639766.181,646.961,BED,BED,,,,
2497,6008014.17,639766.684,647.132,BED,BED,,,,
2498,6008014.286,639767.388,647.36,BOB,BOTTOM OF BANK,,,,
2499,6008013.48,639770.216,649.392,TOB,TOP OF BANK,,,,
2500,6008051.001,639772.303,647.3,DAM,BEAVER DAM,,,,
2501,6008066.057,639783.637,650.139,GS,GROUND SHOT,,,,
2502,6008063.349,639784.309,649.061,TOB,TOP OF BANK,,,,
2503,6008062.531,639784.463,648.103,BOB,BOTTOM OF BANK,,,,
2504,6008061.781,639785.121,647.443,GS,GROUND SHOT,,,,
2505,6008061.57,639785.265,647.352,WL,WATERLEVEL,,,,
2506,6008061.425,639785.715,646.935,BED,BED,,,,
2507,6008061.198,639786.354,646.619,BED,BED,,,,
2508,6008061,639786.777,646.504,BED,BED,,,,
2509,6008060.696,639787.498,646.605,BED,BED,,,,
2510,6008060.48,639788.374,646.754,BED,BED,,,,
2511,6008059.703,639789.124,647.141,BED,BED,,,,
2512,6008059.358,639789.453,647.415,GS,GROUND SHOT,,,,
2513,6008059.29,639790.196,647.69,BOB,BOTTOM OF BANK,,,,
2514,6008057.224,639791.804,649.967,TOB,TOP OF BANK,,,,
2515,6008559.47,639964.019,647.774,CULV,CULVERT,400mm,CSP,OBV,CRUSHED
2516,6008576.12,639959.619,647.673,CULV,CULVERT,400mm,CSP,OBV,CRUSHED
2517,6008573.241,639956.78,647.87,RD SHLD2,ROAD SHOULDER,,,,
2518,6008567.335,639959.456,648.151,RD CL1, ROAD CENTERLINE,,,,
2519,6008560.699,639961.561,647.938,RD SHLD1,ROAD SHOULDER,,,,
2520,6008561.817,639965.15,647.916,TOS1,TOP OF SLOPE,,,,
2521,6008562.205,639967.801,647.841,TOS1,TOP OF SLOPE,,,,
2522,6008564.052,639971.802,647.644,TOS1,TOP OF SLOPE,,,,
2523,6008570.434,639970.112,648.087,RD CL1, ROAD CENTERLINEL,,,,
2524,6008576.406,639968.616,647.924,RD SHLD2,ROAD SHOULDER,,,,
2525,6008577.486,639971.77,647.919,RD SHLD2,ROAD SHOULDER,,,,
2526,6008578.322,639975.135,647.906,RD SHLD2,ROAD SHOULDER,,,,
2527,6008573.604,639976.636,648.089,RD CL1, ROAD CENTERLINE,,,,
2528,6008565.654,639974.885,647.581,TOS1,TOP OF SLOPE,,,,
2529,6008566.593,639978.443,647.533,TOS1,TOP OF SLOPE,,,,
2530,6008562.495,639964.631,647.933,RD SHLD1,ROAD SHOULDER,,,,
2531,6008564.577,639968.912,647.899,RD SHLD1,ROAD SHOULDER,,,,
2532,6008567.474,639975.453,647.855,RD SHLD1,ROAD SHOULDER,,,,
2533,6008568.649,639980.082,647.855,RD SHLD1,ROAD SHOULDER,,,,
2534,6008567.504,639985.249,647.527,TOS1,TOP OF SLOPE,,,,
2535,6008569.65,639984.869,647.89,RD SHLD1,ROAD SHOULDER,,,,
2536,6008574.706,639983.326,648.108,RD CL1, ROAD CENTERLINE,,,,
2537,6008579.674,639981.604,647.962,RD SHLD2,ROAD SHOULDER,,,,
2538,6008581.53,639988.053,647.938,RD SHLD2,ROAD SHOULDER,,,,
2539,6008576.561,639990.007,648.124,RD CL1, ROAD CENTERLINE,,,,
2540,6008571.464,639991.876,647.976,RD SHLD1,ROAD SHOULDER,,,,
2541,6008569.3,639992.327,647.556,TOS1,TOP OF SLOPE,,,,
2542,6008571.809,639999.603,647.684,TOS1,TOP OF SLOPE,,,,
2543,6008573.201,639999.004,648.011,RD SHLD1,ROAD SHOULDER,,,,
2544,6008578.584,639997.016,648.189,RD CL1, ROAD CENTERLINE,,,,
2545,6008583.066,639995.63,647.934,RD SHLD2,ROAD SHOULDER,,,,
2546,6008584.104,639995.135,647.541,BOS4,BOTTOM OF SLOPE,,,,
2547,6008583.172,639990.34,647.556,BOS4,BOTTOM OF SLOPE,,,,
2548,6008583.117,639986.566,647.362,BOS4,BOTTOM OF SLOPE,,,,
2549,6008583.392,639985.114,646.996,BOS4,BOTTOM OF SLOPE,,,,
2550,6008584.16,639988.136,647.396,BOS1,BOTTOM OF SLOPE,,,,
2551,6008584.907,639985.68,646.6,BOS1,BOTTOM OF SLOPE,,,,
2552,6008583.997,639983.013,646.39,BOS1,BOTTOM OF SLOPE,,,,
2553,6008583.313,639980.772,646.091,BOS1,BOTTOM OF SLOPE,,,,
2554,6008583.211,639980.505,646.119,WL,WATERLEVEL,,,,
2555,6008582.681,639979.617,645.853,BED,BED,,,,
2556,6008582.834,639978.907,645.759,BED,BED,,,,
2557,6008582.502,639978.051,645.763,BED,BED,,,,
2558,6008582.135,639976.881,645.879,BED,BED,,,,
2559,6008581.756,639975.834,645.952,BED,BED,,,,
2560,6008581.657,639975.491,646.064,BOS2,BOTTOM OF SLOPE,,,,
2561,6008580.907,639974.319,646.503,BOS2,BOTTOM OF SLOPE,,,,
2562,6008579.735,639971.868,646.902,BOS2,BOTTOM OF SLOPE,,,,
2563,6008578.419,639968.547,646.908,BOS2,BOTTOM OF SLOPE,,,,
2564,6008577.457,639965.795,647.079,BOS2,BOTTOM OF SLOPE,,,,
2565,6008576.781,639962.484,647.129,BOS2,BOTTOM OF SLOPE,,,,
2566,6008576.699,639960.503,647.086,BOS2,BOTTOM OF SLOPE,,,,
2567,6008576.104,639959.358,646.862,BOS2,BOTTOM OF SLOPE,,,,
2568,6008576.025,639959.569,647.241,CULV,CULVERT,,,,
2569,6008568.634,639991.801,647.426,BOS3,BOTTOM OF SLOPE,,,,
2570,6008567.219,639989.576,647.319,BOS3,BOTTOM OF SLOPE,,,,
2571,6008565.751,639987.337,646.749,BOS3,BOTTOM OF SLOPE,,,,
2572,6008564.883,639984.934,646.527,BOS3,BOTTOM OF SLOPE,,,,
2573,6008564.329,639981.593,646.36,BOS3,BOTTOM OF SLOPE,,,,
2574,6008563.985,639978.894,646.193,BOS3,BOTTOM OF SLOPE,,,,
2575,6008563.572,639976.819,646.176,BOS3,BOTTOM OF SLOPE,,,,
2576,6008562.491,639974.419,646.116,BOS3,BOTTOM OF SLOPE,,,,
2577,6008561.556,639972.68,646.352,BOS3,BOTTOM OF SLOPE,,,,
2578,6008560.58,639970.934,646.659,BOS3,BOTTOM OF SLOPE,,,,
2579,6008560.115,639969.297,646.976,BOS3,BOTTOM OF SLOPE,,,,
2580,6008559.058,639967.217,646.979,BOS3,BOTTOM OF SLOPE,,,,
2581,6008559.213,639965.275,646.973,BOS3,BOTTOM OF SLOPE,,,,
2582,6008559.328,639964.085,647.162,BOS3,BOTTOM OF SLOPE,,,,
2583,6008557.833,639968.406,646.983,GS,GROUND SHOT,,,,
2584,6008557.98,639969.212,647.022,TOB,TOP OF BANK,,,,
2585,6008559.047,639971.237,646.362,BOB,BOTTOM OF BANK,,,,
2586,6008559.345,639971.463,646.353,WL,WATERLEVEL,,,,
2587,6008559.46,639972.031,646.142,BED,BED,,,,
2588,6008560.034,639973.278,645.799,BED,BED,,,,
2589,6008560.391,639974.352,645.613,BED,BED,,,,
2590,6008560.642,639975.58,645.448,BED,BED,,,,
2591,6008561.065,639976.923,645.526,BED,BED,,,,
2592,6008561.704,639978.575,645.652,BED,BED,,,,
2593,6008561.797,639979.641,645.897,BED,BED,,,,
2594,6008562.265,639981.555,646.161,BED,BED,,,,
2595,6008562.63,639983.244,646.199,BED,BED,,,,
2596,6008562.887,639984.295,646.284,GS,GROUND SHOT,,,,
2597,6008563.577,639986.697,646.323,GS,GROUND SHOT,,,,
2598,6008564.3,639989.161,646.607,GS,GROUND SHOT,,,,
2599,6008565.092,639991.959,647.32,GS,GROUND SHOT,,,,
2600,6008565.812,639994.689,647.638,GS,GROUND SHOT,,,,
2601,6008581.6,639978.402,646.042,CULV,CULVERT,?,CSP,OBV,
2602,6008602.266,639971.887,646.985,GS,GROUND SHOT,,,,
2603,6008602.085,639970.771,646.923,TOB,TOP OF BANK,,,,
2604,6008601.831,639970.489,646.62,WL,WATERLEVEL,,,,
2605,6008601.764,639970.233,646.467,BED,BED,,,,
2606,6008601.4,639969.11,646.23,BED,BED,,,,
2607,6008600.761,639967.992,646.061,BED,BED,,,,
2608,6008600.508,639966.609,645.916,BED,BED,,,,
2609,6008600.472,639965.363,646.02,BED,BED,,,,
2610,6008600.478,639963.96,646.246,BED,BED,,,,
2611,6008600.763,639962.223,646.295,BED,BED,,,,
2612,6008600.751,639961.398,646.536,BED,BED,,,,
2613,6008600.568,639960.952,646.82,BOB,BOTTOM OF BANK,,,,
2614,6008600.382,639960.604,647.179,TOB,TOP OF BANK,,,,
2615,6008670.583,639930.546,647.652,GS,GROUND SHOT,,,,
2616,6008671.306,639932.465,647.448,TOB,TOP OF BANK,,,,
2617,6008671.312,639933.315,646.966,BOB,BOTTOM OF BANK,,,,
2618,6008671.93,639934.491,646.691,GS,GROUND SHOT,,,,
2619,6008672.204,639935.002,646.622,WL,WATERLEVEL,,,,
2620,6008672.74,639935.689,646.278,BED,BED,,,,
2621,6008673.857,639936.052,646.131,BED,BED,,,,
2622,6008675.005,639937.004,645.758,BED,BED,,,,
2623,6008675.034,639938.078,645.511,BED,BED,,,,
2624,6008674.932,639937.991,645.435,BED,BED,,,,
2625,6008675.754,639939.841,645.651,BED,BED,,,,
2626,6008676.461,639940.837,645.921,BED,BED,,,,
2627,6008677.153,639942.442,646.391,BED,BED,,,,
2628,6008678.388,639943.047,646.681,GS,GROUND SHOT,,,,
2629,6008679.595,639944.085,646.876,GS,GROUND SHOT,,,,
2630,6008680.763,639944.439,646.882,TL,TREELINE,,,,
2631,6008583.751,639973.947,647.392,TOB,TOP OF BANK,,,,
2632,6008583.924,639975.155,646.743,BOB,BOTTOM OF BANK,,,,
2633,6008583.954,639975.419,646.618,WL,WATERLEVEL,,,,
2634,6008583.996,639976.113,646.333,BED,BED,,,,
2635,6008584.198,639976.982,646.179,BED,BED,,,,
2636,6008584.392,639978.156,646.074,BED,BED,,,,
2637,6008584.813,639979.318,646.083,BED,BED,,,,
2638,6008584.801,639979.275,646.06,BED,BED,,,,
2639,6008585.487,639980.437,646.323,BED,BED,,,,
2640,6008585.974,639981.443,646.646,GS,GROUND SHOT,,,,
2641,6008586.983,639983.625,646.712,GS,GROUND SHOT,,,,
2642,6008588.895,639984.916,646.81,BOB,BOTTOM OF BANK,,,,
2643,6008589.427,639985.036,647.31,TOB,TOP OF BANK,,,,
2644,6008589.418,639984.997,647.289,TOB,TOP OF BANK,,,,
2645,6008590.566,639986.407,648.027,GS,GROUND SHOT,,,,
2646,6008409.277,639943.313,648.561,GS,GROUND SHOT,,,,
2647,6008406.551,639943.764,648.316,TOB,TOP OF BANK,,,,
2648,6008404.633,639944.443,647.421,BOB,BOTTOM OF BANK,,,,
2649,6008404.309,639944.486,647.318,WL,WATERLEVEL,,,,
2650,6008403.53,639944.4,646.915,BED,BED,,,,
2651,6008402.066,639945.147,646.48,BED,BED,,,,
2652,6008400.063,639945.364,645.852,BED,BED,,,,
2653,6008307.288,639852.484,649.353,GS,GROUND SHOT,,,,
2654,6008307.182,639854.338,649.226,TOB,TOP OF BANK,,,,
2655,6008306.404,639856.754,647.466,BOB,BOTTOM OF BANK,,,,
2656,6008306.246,639856.807,647.321,WL,WATERLEVEL,,,,
2657,6008306.676,639857.331,646.983,BED,BED,,,,
2658,6008307.043,639858.52,646.067,BED,BED,,,,
2659,6008306.444,639859.496,645.94,BED,BED,,,,
2660,6008162.467,639838.313,649.422,GS,GROUND SHOT,,,,
2661,6008161.62,639839.929,649.167,TOB,TOP OF BANK,,,,
2662,6008160.61,639842.506,647.484,BOB,BOTTOM OF BANK,,,,
2663,6008160.608,639842.781,647.402,WL,WATERLEVEL,,,,
2664,6008160.272,639843.327,646.993,BED,BED,,,,
2665,6008159.393,639843.948,646.332,BED,BED,,,,
2666,6008159.167,639844.998,646.047,BED,BED,,,,
2667,6008157.723,639845.034,646.233,BED,BED,,,,
2668,6008156.458,639845.23,646.6,BED,BED,,,,
2669,6008155.052,639844.959,647.077,BED,BED,,,,
2670,6008154.199,639845.39,647.431,BOB,BOTTOM OF BANK,,,,
2671,6008153.396,639847.614,649.365,TOB,TOP OF BANK,,,,
2672,6008152.327,639848.865,649.522,GS,GROUND SHOT,,,,
5000,6008114.777,639633.739,650.3,BRIDGE DECK,BRIDGE DECK,,,,
5001,6008108.243,639623.297,650.325,BRIDGE DECK,BRIDGE DECK,,,,
5002,6008101.279,639627.558,650.524,BRIDGE DECK,BRIDGE DECK,,,,
5003,6008107.664,639638.114,650.51,BRIDGE DECK,BRIDGE DECK,,,,
5004,6008112.815,639614.377,649.463,GS,GROUND SHOT,,,,
